1499,0
1500,1000
1501,0
1502,0
1503,1000
1506,0
1507,1000
1512,0
1513,1000
1514,0
1515,1500
1522,0
1523,0
1528,0
1529,1000
1530,1000
1531,2000
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1550,0
1551,0
1556,0
1557,0
1562,0
1563,0
1582,0
1583,0
1584,1000
1585,0
1590,0
1591,0
1594,0
1595,0
1598,0
1599,0
1602,0
1603,0
1604,0
1605,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1620,1000
1621,0
1622,0
1623,0
1626,0
1627,0
1630,0
1631,0
1632,1000
1633,0
1642,0
1643,0
1648,0
1649,0
1650,0
1651,2000
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1670,0
1671,0
1672,0
1673,0
1676,0
1677,0
1678,0
1679,0
1680,2000
1681,2000
1684,1500
1685,0
1688,0
1689,0
1694,0
1695,0
1698,0
1699,0
1712,0
1713,0
1716,0
1717,1500
1722,0
1723,0
1730,0
1731,0
1746,0
1747,0
1750,1000
1751,1500
1752,0
1753,0
1770,1500
1771,0
1782,0
1783,0
1794,0
1795,0
1802,0
1803,0
1806,1000
1807,1500
1812,0
1813,0
1832,0
1833,0
1834,0
1835,0
1840,0
1841,0
1842,0
1843,2000
1848,0
1849,0
1850,0
1851,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1884,0
1885,1500
1888,0
1889,1000
1902,0
1903,0
1906,0
1907,0
1918,0
1919,0
1924,0
1925,1000
1932,0
1933,0
1950,0
1951,0
1956,1000
1957,0
1968,1000
1969,1500
1970,0
1971,0
1980,0
1981,0
1982,0
1983,0
1984,2000
1985,0
1986,0
1987,0
1990,1500
1991,2000
2002,0
2003,0
2014,0
2015,0
2024,0
2025,0
2026,1000
2027,0
2036,1000
2037,0
2038,2000
2039,0
2044,0
2045,0
2060,0
2061,1000
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,1500
2069,0
2072,0
2073,1000
2078,0
2079,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2100,0
2101,0
2102,0
2103,0
2110,0
2111,0
2112,0
2113,0
2122,0
2123,0
2124,0
2125,1000
2132,0
2133,0
2134,0
2135,0
2142,0
2143,0
2144,0
2145,0
2148,0
2149,2000
2162,0
2163,0
2170,0
2171,0
2184,0
2185,1000
2190,0
2191,0
2192,0
2193,0
2198,0
2199,0
2208,0
2209,0
2218,0
2219,0
2222,0
2223,0
2232,0
2233,0
2234,0
2235,0
2244,0
2245,2000
2250,0
2251,0
2252,0
2253,0
2256,0
2257,0
2268,0
2269,0
2270,0
2271,0
2274,2000
2275,2000
2278,1000
2279,1500
2280,1000
2281,0
2284,1500
2285,1500
2286,0
2287,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2302,0
2303,0
2304,1000
2305,1000
2306,0
2307,0
2308,0
2309,0
2316,0
2317,1500
2320,1000
2321,0
2322,0
2323,0
2332,0
2333,0
2334,0
2335,1500
2340,0
2341,0
2350,0
2351,0
2356,0
2357,0
2364,1000
2365,0
2370,0
2371,0
2388,0
2389,0
2392,0
2393,0
2396,0
2397,0
2400,0
2401,0
2416,0
2417,0
2418,0
2419,1500
2422,0
2423,0
2428,0
2429,0
2430,0
2431,0
2434,0
2435,0
2440,0
2441,0
2452,0
2453,0
2458,0
2459,1000
2468,0
2469,0
2472,2000
2473,0
2474,0
2475,0
2476,0
2477,0
2480,0
2481,0
2484,0
2485,0
2504,0
2505,0
2518,1000
2519,0
2520,0
2521,0
2522,0
2523,0
2524,0
2525,1500
2530,0
2531,0
2538,0
2539,0
2542,0
2543,0
2552,0
2553,0
2558,0
2559,0
2578,0
2579,0
2586,0
2587,0
2594,0
2595,0
2604,0
2605,0
2614,0
2615,0
2616,0
2617,0
2630,0
2631,0
2638,0
2639,0
2660,0
2661,0
2664,0
2665,0
2666,0
2667,0
2668,0
2669,0
2676,0
2677,0
2688,0
2689,0
2692,0
2693,0
2694,0
2695,2000
2704,0
2705,0
2710,0
2711,0
2718,0
2719,0
2728,0
2729,0
2734,0
2735,0
2740,1000
2741,0
2742,0
2743,0
2746,0
2747,0
2756,0
2757,0
2758,1000
2759,1000
2760,0
2761,0
2774,0
2775,2000
2780,0
2781,0
2790,0
2791,0
2806,0
2807,0
2812,0
2813,0
2814,0
2815,0
2816,0
2817,0
2824,0
2825,0
2828,0
2829,0
2832,0
2833,0
2834,0
2835,0
2836,0
2837,0
2846,1500
2847,0
2854,0
2855,0
2860,0
2861,0
2862,1500
2863,2000
2866,0
2867,0
2868,0
2869,0
2870,0
2871,0
2874,0
2875,0
2876,0
2877,0
2880,0
2881,0
2882,0
2883,0
2884,0
2885,0
2888,0
2889,0
2896,0
2897,0
2898,0
2899,0
2902,0
2903,0
2908,0
2909,0
2910,0
2911,0
2912,0
2913,0
2916,0
2917,0
2922,0
2923,0
2924,0
2925,1000
2928,0
2929,0
2932,0
2933,0
2934,0
2935,0
2946,0
2947,0
2960,0
2961,0
2968,0
2969,0
2978,0
2979,0
2980,0
2981,0
2994,1000
2995,1000
2998,1000
2999,0
3002,0
3003,0
3004,0
3005,0
3010,0
3011,0
3016,0
3017,0
3020,0
3021,0
3024,0
3025,0
3026,0
3027,0
3028,0
3029,1000
3032,0
3033,0
3038,0
3039,0
3040,0
3041,0
3042,0
3043,0
3046,0
3047,0
3056,0
3057,0
3070,0
3071,0
3078,0
3079,0
3084,0
3085,0
3090,0
3091,0
3092,0
3093,0
3100,0
3101,0
3104,0
3105,0
3110,0
3111,0
3112,0
3113,0
3116,0
3117,0
3118,0
3119,0
3130,0
3131,0
3132,0
3133,0
3146,1000
3147,0
3150,0
3151,0
3152,0
3153,0
3156,0
3157,0
3158,0
3159,0
3166,2000
3167,1500
3168,0
3169,0
3170,0
3171,1000
3178,1000
3179,0
3182,0
3183,1000
3186,0
3187,0
3190,0
3191,0
3194,1000
3195,0
3200,0
3201,0
3204,0
3205,0
3210,0
3211,0
3212,0
3213,0
3214,0
3215,0
3216,0
3217,2000
3218,0
3219,0
3222,0
3223,1000
3230,0
3231,0
3236,0
3237,0
3248,0
3249,0
3252,0
3253,0
3258,1500
3259,1000
3266,0
3267,0
3272,0
3273,0
3276,0
3277,0
3288,0
3289,0
3290,0
3291,0
3294,0
3295,0
3296,0
3297,0
3308,0
3309,0
3310,0
3311,0
3324,0
3325,0
3330,0
3331,0
3332,0
3333,0
3346,0
3347,0
3350,1000
3351,1000
3374,0
3375,0
3386,1000
3387,1500
3392,0
3393,0
3396,0
3397,0
3400,1500
3401,1000
3408,1000
3409,0
3410,0
3411,0
3416,0
3417,0
3424,0
3425,0
3440,0
3441,0
3442,1500
3443,0
3444,0
3445,0
3446,0
3447,0
3464,0
3465,1000
3468,0
3469,0
3470,1000
3471,1000
3472,0
3473,1500
3474,0
3475,0
3482,1000
3483,1500
3486,0
3487,0
3492,0
3493,0
3496,0
3497,1000
3506,1000
3507,0
3512,0
3513,1500
3522,0
3523,0
3524,0
3525,0
3542,0
3543,0
3560,0
3561,0
3564,0
3565,0
3566,0
3567,0
3572,0
3573,1500
3582,2000
3583,0
3584,1000
3585,1000
3594,0
3595,0
3600,0
3601,0
3608,0
3609,0
3620,0
3621,1500
3626,0
3627,0
3636,0
3637,0
3638,0
3639,0
3646,1000
3647,2000
3648,1000
3649,0
3650,0
3651,0
3660,1000
3661,1000
3664,0
3665,1000
3670,0
3671,0
3674,0
3675,0
3684,0
3685,0
3690,0
3691,0
3694,0
3695,0
3698,0
3699,0
3714,0
3715,0
3716,0
3717,0
3718,0
3719,0
3724,0
3725,0
3728,0
3729,0
3732,0
3733,1500
3742,0
3743,0
3744,0
3745,0
3756,0
3757,1000
3760,0
3761,0
3762,0
3763,0
3764,0
3765,0
3768,0
3769,0
3780,0
3781,0
3782,0
3783,0
3784,0
3785,0
3790,0
3791,0
3796,1000
3797,1000
3800,2000
3801,0
3802,0
3803,0
3804,0
3805,0
3812,0
3813,0
3828,0
3829,0
3830,0
3831,0
3834,0
3835,0
3838,1000
3839,0
3840,0
3841,0
3844,1000
3845,2000
3858,2000
3859,2000
3870,0
3871,0
3878,0
3879,0
3898,0
3899,0
3904,0
3905,0
3910,1500
3911,0
3912,0
3913,0
3916,1500
3917,0
3920,0
3921,0
3930,2000
3931,0
3944,0
3945,0
3948,0
3949,0
3950,1500
3951,2000
3960,0
3961,0
3972,1000
3973,1500
3978,1500
3979,0
3982,0
3983,0
3984,0
3985,1000
3992,0
3993,0
4002,0
4003,0
4004,0
4005,0
4008,0
4009,0
4016,0
4017,0
4020,1000
4021,0
4024,1500
4025,0
4028,0
4029,0
4034,0
4035,0
4036,0
4037,0
4042,0
4043,0
4046,2000
4047,0
4050,0
4051,0
4066,0
4067,0
4078,0
4079,0
4082,0
4083,0
4090,0
4091,0
4112,0
4113,0
4126,1000
4127,0
4144,0
4145,0
4154,0
4155,0
4162,0
4163,0
4166,0
4167,0
4172,0
4173,0
4178,2000
4179,2000
4192,0
4193,0
4196,0
4197,0
4210,1500
4211,0
4214,0
4215,0
4216,0
4217,0
4232,0
4233,0
4236,0
4237,1500
4256,0
4257,0
4262,0
4263,0
4266,0
4267,0
4286,0
4287,0
4290,0
4291,0
4292,0
4293,0
4294,1000
4295,0
4314,0
4315,0
4326,1000
4327,0
4332,0
4333,0
4348,2000
4349,0
4362,0
4363,0
4366,0
4367,0
4370,1000
4371,0
4372,0
4373,0
4374,0
4375,0
4376,0
4377,0
4382,1000
4383,0
4388,2000
4389,1500
4394,0
4395,1000
4404,0
4405,1000
4420,0
4421,0
4424,0
4425,0
4428,0
4429,0
4432,2000
4433,1000
4436,0
4437,0
4442,0
4443,0
4448,2000
4449,0
4456,1000
4457,0
4458,0
4459,1500
4462,0
4463,0
4478,0
4479,0
4482,0
4483,1500
4494,0
4495,0
4498,1500
4499,0
4500,0
4501,0
4502,0
4503,0
4504,0
4505,0
4506,0
4507,0
4510,0
4511,0
4514,0
4515,1000
4516,0
4517,0
4524,0
4525,0
4530,0
4531,0
4532,0
4533,0
4536,0
4537,0
4538,0
4539,0
4540,0
4541,0
4542,0
4543,0
4546,1500
4547,0
4556,0
4557,0
4558,0
4559,0
4560,0
4561,0
4566,0
4567,0
4568,0
4569,0
4570,0
4571,0
4572,0
4573,0
4586,0
4587,0
4590,1000
4591,1000
4592,0
4593,0
4602,1000
4603,1500
4620,0
4621,0
4622,0
4623,0
4628,0
4629,1500
4634,0
4635,0
4644,2000
4645,0
4646,0
4647,0
4648,0
4649,1000
4656,0
4657,0
4658,0
4659,0
4662,1000
4663,1000
4664,0
4665,0
4666,0
4667,0
4670,2000
4671,2000
4678,0
4679,0
4692,0
4693,0
4708,0
4709,0
4724,0
4725,0
4732,0
4733,0
4734,0
4735,0
4750,0
4751,0
4758,0
4759,0
4760,0
4761,0
4764,0
4765,0
4770,0
4771,0
4774,1000
4775,0
4784,0
4785,0
4792,0
4793,0
4794,0
4795,0
4804,0
4805,1000
4808,0
4809,0
4812,0
4813,0
4814,0
4815,0
4830,0
4831,0
4838,0
4839,0
4840,0
4841,0
4844,0
4845,0
4848,0
4849,0
4850,1000
4851,0
4858,0
4859,0
4862,0
4863,1000
4868,0
4869,0
4872,0
4873,0
4878,0
4879,0
4892,0
4893,0
4894,1000
4895,0
4898,0
4899,0
4900,1000
4901,0
4908,0
4909,0
4934,0
4935,0
4942,0
4943,0
4944,0
4945,0
4954,0
4955,0
4972,0
4973,0
4976,0
4977,0
4978,0
4979,0
4988,1500
4989,0
4998,0
4999,0
5000,0
5001,0
5002,0
5003,0
5006,1000
5007,0
5008,0
5009,0
5010,1500
5011,0
5020,0
5021,0
5024,0
5025,0
5028,0
5029,0
5030,0
5031,0
5032,0
5033,0
5038,0
5039,0
5040,0
5041,0
5044,0
5045,0
5048,0
5049,0
5064,0
5065,0
5076,1000
5077,0
5080,0
5081,0
5082,0
5083,0
5096,0
5097,0
5100,0
5101,0
5104,0
5105,0
5108,0
5109,0
5116,0
5117,0
5132,0
5133,0
5134,0
5135,0
5136,0
5137,0
5140,0
5141,0
5142,0
5143,0
5144,1000
5145,0
5148,0
5149,0
5164,0
5165,0
5172,0
5173,0
5186,0
5187,0
5190,0
5191,0
5210,0
5211,0
5218,0
5219,1000
5220,0
5221,0
5222,0
5223,0
5226,0
5227,0
5228,0
5229,0
5232,1500
5233,1000
5234,0
5235,0
5240,0
5241,0
5242,0
5243,0
5244,0
5245,0
5248,0
5249,0
5256,1500
5257,1500
5260,0
5261,0
5262,0
5263,0
5270,1000
5271,0
5272,0
5273,0
5276,0
5277,0
5280,0
5281,0
5304,0
5305,0
5312,0
5313,1000
5318,0
5319,0
5320,0
5321,0
5330,0
5331,0
5332,0
5333,1500
5334,0
5335,0
5338,0
5339,0
5342,0
5343,0
5344,0
5345,0
5354,0
5355,2000
5356,0
5357,1000
5358,0
5359,0
5374,1500
5375,0
5377,0
5388,0
5389,0
5404,0
5405,0
5414,0
5415,0
5416,0
5417,1500
5424,0
5425,1000
5432,0
5433,0
5436,0
5437,0
5440,0
5441,0
5446,0
5447,0
5452,0
5453,1000
5456,0
5457,0
5468,0
5469,1500
5472,0
5473,0
5482,0
5483,0
5486,0
5487,0
5490,0
5491,0
5492,0
5493,0
5494,0
5495,0
5498,1500
5499,0
5500,0
5501,0
5502,0
5503,0
5510,0
5511,0
5514,1500
5515,0
5518,0
5519,0
5550,0
5551,0
5552,0
5553,0
5570,0
5571,0
5576,0
5577,0
5582,0
5583,0
5584,1000
5585,1500
5588,1500
5589,0
5590,1500
5591,0
5598,1000
5599,0
5600,0
5601,0
5604,0
5605,0
5608,2000
5609,0
5616,0
5617,0
5618,0
5619,1500
5628,0
5629,0
5644,0
5645,0
5646,0
5647,0
5648,0
5649,0
5652,0
5653,0
5654,0
5655,0
5658,0
5659,0
5664,2000
5665,2000
5666,0
5667,1500
5676,0
5677,1000
5680,0
5681,0
5682,0
5683,0
5686,0
5687,0
5690,0
5691,0
5696,1000
5697,0
5702,0
5703,0
5704,0
5705,0
5708,0
5709,0
5712,0
5713,0
5714,1000
5715,2000
5730,0
5731,0
5732,0
5733,0
5734,1000
5735,1000
5744,1000
5745,0
5746,0
5747,0
5750,0
5751,0
5752,0
5753,0
5756,0
5757,0
5758,1000
5759,0
5760,0
5761,0
5762,0
5763,0
5766,0
5767,0
5774,0
5775,0
5782,0
5783,0
5784,0
5785,0
5786,0
5787,0
5790,0
5791,0
5796,1500
5797,0
5800,0
5801,0
5808,0
5809,0
5812,0
5813,0
5814,0
5815,0
5816,0
5817,0
5824,0
5825,0
5826,0
5827,0
5838,0
5839,0
5846,0
5847,0
5848,0
5849,1500
5858,2000
5859,0
5862,0
5863,0
5864,0
5865,1500
5870,0
5871,0
5874,0
5875,0
5878,0
5879,0
5882,1000
5883,0
5886,0
5887,0
5900,0
5901,0
5904,0
5905,0
5918,0
5919,0
5924,0
5925,0
5926,0
5927,0
5932,1500
5933,0
5936,0
5937,0
5940,0
5941,0
5942,0
5943,0
5944,0
5945,0
5946,0
5947,1000
5952,0
5953,0
5964,0
5965,0
5966,0
5967,0
5974,0
5975,0
5982,0
5983,0
5990,0
5991,0
5992,0
5993,0
5996,0
5997,0
6004,1000
6005,0
6006,0
6007,0
6010,0
6011,0
6020,0
6021,0
6022,0
6023,0
6028,0
6029,0
6032,0
6033,0
6040,0
6041,0
6044,0
6045,0
6046,0
6047,0
6054,1000
6055,0
6064,0
6065,0
6066,1500
6067,0
6072,0
6073,0
6078,0
6079,1000
6098,0
6099,0
6102,1500
6103,0
6104,0
6105,0
6116,0
6117,0
6120,0
6121,0
6124,0
6125,0
6128,1000
6129,0
6134,0
6135,0
6148,0
6149,0
6150,0
6151,0
6156,1500
6157,1500
6160,0
6161,0
6172,0
6173,0
6180,0
6181,0
6184,0
6185,0
6190,0
6191,2000
6192,0
6193,0
6196,0
6197,0
6202,0
6203,0
6210,0
6211,0
6212,0
6213,0
6214,0
6215,2000
6230,0
6231,0
6232,0
6233,0
6236,0
6237,0
6244,0
6245,0
6250,0
6251,0
6254,0
6255,0
6260,0
6261,0
6266,0
6267,0
6268,0
6269,0
6276,0
6277,0
6282,0
6283,0
6288,0
6289,0
6296,1000
6297,1500
6302,0
6303,1500
6306,0
6307,0
6316,0
6317,0
6320,0
6321,0
6332,0
6333,1000
6342,0
6343,0
6344,0
6345,0
6352,0
6353,0
6356,0
6357,0
6366,0
6367,0
6368,0
6369,0
6372,0
6373,0
6374,0
6375,0
6382,0
6383,0
6386,0
6387,0
6390,0
6391,0
6394,0
6395,0
6396,0
6397,0
6406,1500
6407,1000
6410,0
6411,0
6412,0
6413,0
6426,0
6427,0
6428,0
6429,0
6430,0
6431,0
6440,0
6441,0
6442,0
6443,0
6450,0
6451,0
6454,0
6455,0
6458,0
6459,0
6462,0
6463,0
6466,2000
6467,1000
6472,0
6473,0
6474,0
6475,0
6480,0
6481,2000
6486,0
6487,0
6488,0
6489,2000
6492,1500
6493,0
6496,1500
6497,0
6510,0
6511,0
6512,0
6513,1000
6518,0
6519,0
6520,0
6521,0
6524,0
6525,0
6526,0
6527,0
6546,0
6547,0
6554,0
6555,0
6578,0
6579,0
6592,0
6593,0
6594,0
6595,0
6600,0
6601,0
6620,0
6621,0
6624,0
6625,0
6636,0
6637,0
6648,0
6649,0
6650,0
6651,0
6654,0
6655,0
6660,0
6661,0
6662,0
6663,0
6668,2000
6669,0
6672,2000
6673,2000
6678,0
6679,1500
6680,0
6681,0
6694,0
6695,2000
6696,0
6697,0
6714,0
6715,0
6718,0
6719,0
6720,0
6721,0
6722,0
6723,1000
6728,0
6729,0
6748,0
6749,1500
6750,0
6751,0
6762,0
6763,0
6774,0
6775,0
6778,1000
6779,1500
6784,0
6785,0
6788,0
6789,0
6790,0
6791,0
6792,0
6793,0
6798,0
6799,0
6802,0
6803,0
6804,0
6805,0
6808,0
6809,0
6816,0
6817,0
6820,2000
6821,0
6822,1500
6823,1500
6826,0
6827,0
6832,0
6833,0
6834,0
6835,0
6836,0
6837,1000
6840,0
6841,2000
6862,2000
6863,1000
6882,0
6883,0
6886,0
6887,0
6890,1000
6891,0
6892,0
6893,0
6894,0
6895,1000
6900,0
6901,0
6906,0
6907,1000
6916,0
6917,0
6920,0
6921,0
6922,0
6923,0
6928,0
6929,0
6930,0
6931,0
6942,0
6943,0
6944,0
6945,2000
6956,1000
6957,1000
6966,0
6967,0
6970,0
6971,0
6974,1500
6975,0
6978,0
6979,0
6980,0
6981,0
6984,0
6985,0
6990,0
6991,2000
6994,0
6995,0
6996,0
6997,0
7004,0
7005,2000
7016,0
7017,0
7026,0
7027,0
7028,0
7029,0
7040,0
7041,0
7056,0
7057,0
7062,0
7063,0
7066,2000
7067,2000
7070,0
7071,0
7080,0
7081,0
7082,0
7083,0
7088,1000
7089,1000
7096,0
7097,0
7098,0
7099,0
7100,0
7101,0
7106,0
7107,0
7108,0
7109,1000
7126,1500
7127,1500
7134,0
7135,0
7154,0
7155,0
7168,0
7169,0
7170,1500
7171,2000
7176,0
7177,0
7182,0
7183,0
7190,0
7191,0
7202,0
7203,0
7204,1500
7205,0
7216,0
7217,0
7230,0
7231,0
7232,0
7233,0
7236,0
7237,0
7240,1000
7241,0
7242,0
7243,0
7244,0
7245,0
7250,0
7251,0
7252,0
7253,0
7262,0
7263,0
7270,0
7271,0
7274,0
7275,0
7292,2000
7293,0
7294,0
7295,0
7296,0
7297,0
7300,0
7301,0
7310,1500
7311,1500
7314,0
7315,1500
7318,1500
7319,0
7324,0
7325,1000
7332,0
7333,1500
7336,0
7337,0
7340,0
7341,0
7342,0
7343,0
7348,0
7349,0
7350,0
7351,0
7386,0
7387,1000
7388,0
7389,0
7396,0
7397,0
7410,0
7411,1000
7412,0
7413,0
7420,0
7421,0
7422,0
7423,0
7426,0
7427,0
7432,0
7433,0
7434,0
7435,0
7440,0
7441,0
7442,0
7443,0
7468,0
7469,0
7474,0
7475,0
7476,1000
7477,0
7480,0
7481,0
7484,0
7485,0
7488,0
7489,0
7492,0
7493,0
7502,0
7503,0
7504,0
7505,0
7520,1500
7521,0
7528,0
7529,0
7534,2000
7535,0
7536,0
7537,0
7540,1000
7541,0
7548,0
7549,0
7552,0
7553,0
7572,0
7573,0
7576,0
7577,0
7578,0
7579,0
7586,0
7587,2000
7594,0
7595,0
7606,2000
7607,1500
7610,0
7611,0
7620,0
7621,0
7632,0
7633,1000
7636,0
7637,0
7640,0
7641,0
7646,0
7647,0
7650,0
7651,0
7656,1000
7657,1500
7658,0
7659,0
7676,0
7677,0
7680,0
7681,0
7686,1500
7687,2000
7706,0
7707,0
7712,0
7713,0
7714,1000
7715,0
7724,1000
7725,1000
7728,0
7729,0
7730,2000
7731,2000
7732,1000
7733,1000
7734,0
7735,1000
7738,1500
7739,0
7746,1000
7747,1000
7750,0
7751,0
7756,0
7757,0
7766,0
7767,0
7772,0
7773,0
7778,0
7779,0
7794,0
7795,1000
7796,0
7797,0
7802,0
7803,0
7804,1000
7805,0
7808,1000
7809,1000
7812,0
7813,0
7822,1000
7823,1000
7824,0
7825,0
7828,0
7829,1000
7830,0
7831,1000
7832,0
7833,0
7840,0
7841,1000
7846,1000
7847,0
7854,0
7855,0
7856,0
7857,0
7864,0
7865,0
7872,0
7873,0
7880,0
7881,0
7888,0
7889,1000
7896,0
7897,0
7898,0
7899,0
7908,0
7909,2000
7910,0
7911,1500
7912,0
7913,0
7914,0
7915,0
7920,1500
7921,1000
7922,0
7923,0
7930,0
7931,0
7932,0
7933,0
7934,0
7935,2000
7938,0
7939,0
7942,0
7943,0
7946,0
7947,0
7948,0
7949,0
7954,0
7955,0
7958,0
7959,0
7962,0
7963,0
7964,0
7965,0
7968,0
7969,2000
7972,0
7973,0
7974,0
7975,0
7976,0
7977,0
7978,0
7979,0
7980,0
7981,0
7982,0
7983,1000
7984,0
7985,0
7986,0
7987,0
7994,0
7995,0
7998,1000
7999,1000
8000,0
8001,0
8010,0
8011,0
8014,0
8015,1000
8018,1500
8019,0
8022,0
8023,0
8026,0
8027,0
8032,1000
8033,0
8036,0
8037,0
8040,0
8041,0
8048,0
8049,0
8060,0
8061,0
8062,0
8063,0
8066,0
8067,1500
8080,0
8081,0
8084,0
8085,0
8086,0
8087,0
8090,0
8091,0
8098,0
8099,0
8102,0
8103,2000
8104,0
8105,1000
8108,0
8109,0
8110,0
8111,0
8118,0
8119,1000
8120,0
8121,0
8124,1500
8125,0
8128,0
8129,1000
8130,0
8131,0
8136,0
8137,0
8156,0
8157,0
8158,0
8159,0
8180,0
8181,0
8184,0
8185,0
8214,0
8215,0
8232,0
8233,0
8238,1000
8239,0
8242,0
8243,0
8250,0
8251,0
8262,0
8263,0
8268,0
8269,2000
8270,0
8271,0
8274,0
8275,0
8284,0
8285,0
8288,0
8289,1500
8290,0
8291,0
8296,0
8297,0
8300,0
8301,0
8310,0
8311,0
8314,1000
8315,0
8330,0
8331,0
8332,0
8333,0
8344,0
8345,0
8352,0
8353,0
8368,0
8369,0
8378,1000
8379,0
8384,0
8385,0
8392,0
8393,0
8394,1000
8395,1000
8402,0
8403,0
8422,0
8423,0
8424,0
8425,0
8426,0
8427,0
8428,0
8429,0
8432,0
8433,0
8434,0
8435,0
8450,0
8451,0
8456,0
8457,0
8462,0
8463,1500
8466,0
8467,0
8470,0
8471,0
8472,0
8473,0
8478,1000
8479,1000
8480,0
8481,0
8482,0
8483,0
8484,0
8485,0
8486,0
8487,0
8496,2000
8497,0
8500,0
8501,0
8508,0
8509,0
8510,0
